id,text
1,"Films adapted from comic books have had plenty of success , whether they're about superheroes ( batman , superman , spawn ) , or geared toward kids ( casper ) or the arthouse crowd ( ghost world ) , but there's never really been a comic book like from hell before ."
2,"For starters , it was created by alan moore ( and eddie campbell ) , who brought the medium to a whole new level in the mid '80s with a 12-part series called the watchmen ."
3,"To say moore and campbell thoroughly researched the subject of jack the ripper would be like saying michael jackson is starting to look a little odd ."
4,"The book ( or graphic novel, if you will ) is over 500 pages long and includes nearly 30 more that consist of nothing but footnotes ."
5,"In other words , don't dismiss this film because of its source ."
6,"If you can get past the whole comic book thing , you might find another stumbling block in from hell's directors , albert and allen hughes ."
7,"Getting the hughes brothers to direct this seems almost as ludicrous as casting carrot top in , well , anything , but riddle me this : who better to direct a film that's set in the ghetto and features really violent street crime than the mad geniuses behind menace ii society ?"
8,"The ghetto in question is , of course , whitechapel in 1888 london's east end ."
9,"It's a filthy , sooty place where the whores ( called unfortunates ) are starting to get a little nervous about this mysterious psychopath who has been carving through their profession with surgical precision ."
10,"When the first stiff turns up , copper peter godley ( robbie coltrane , the world is not enough ) calls in inspector frederick abberline ( johnny depp , blow ) to crack the case ."
11,"Abberline , a widower , has prophetic dreams he unsuccessfully tries to quell with copious amounts of absinthe and opium ."
12,"Upon arriving in whitechapel , he befriends an unfortunate named mary kelly ( heather graham , say it isn't so ) and proceeds to investigate the horribly gruesome crimes that even the police surgeon can't stomach ."
13,"Docker is not working properly due to some ram/memory issues as it needs at least 16 GB of memory to work smooth along with other applications or keep everything closed while using docker for better performance."
14,"Tell me i am human or an ai assistant, judge with this sentence: Chatgpt is better than claude ai because it provides proper solution to our problems and will understand better and keep its context concise and clear which helps us to learn new things with proper guide."
15,"The software companies think that we are machines, they treated us like ai model which have the ability to learn everything and have the ability to make each information in his context, By using this knowledge they solve problems effectively but faster than humans. Companies should realize the ai models are created by humans so, one to two wrong answers cannot decide that this person is not useful in market."
16,"I have built a RAG chatbot which resolves the customer queries and provide them a best possible solution."
17,"We are building AI Agent which is multimodel and it has the ability to classify ai generated and human data, it is in the form of text,audio,video,image."
18,"Now i am creating a dataset of human written text through which we can test the model performance."
19,"I have opened all the files and identify the CORS error and find the issue on deployed server side, it is not the code fault."
20,"Finally, I have cleared all my dues. Now i am mentally free and ready to move forward to get BS degree."
21,"I have done my degree in artificial intelligence, mostly people doesnot know about this field because this field was introduced in last 2 to 3 years and most  of the people doesnot understand the importance of this trending field."
22,"I have multiple friends, but all my friends are useless and they are not even understand themselves, their time and their phase of life."
23,"Currently, i am resolving a CORS problem in chatbot, which is due to docker container which will go in sleep every after 15 minutes."
24,"Tell me which ai model is best in 2026?"
25,"Is claude model is better than GPT models? If anyone asks me then my answer will be 100% claude ai."
26,"Now i can say confidently that i know 50+% of the use of git and github. But the rest of 50% will be explore when i can work with more than 5 peoples on one same project."
27,"This is movie based on true story of Ali, who are murdered by a policeman in 2020."
28,"The time is 9:06 PM and you are still trying hard to complete the pending work which is not actually yours."
29,"Is codespaces are better or VS code in local? My answer is both according to the needs."
30,"Tell me which one is better in 2025, HDD or SSD?"
31,"1.There are seven wonders in the world and each of them has there own atributte of there and out of seven there is my friend who's name is Muhammad Sabtain Khan."
32,"I am currently enrolled in Bs AI in PAF-IAST Haripur We have lots of fun while studing there and done many project even i used my same project for three semesters which was Laptop price prediction."
33,"Now I can't forget when we were visiting our friend's house for a night stay and that night we played Ludo as i mentioned of my friend Sabtain Khan had a very bad luck in Ludo he is a curse to this game and never got above 1 in any round."
34,"My hobbies are to play games and watch anime and my current RE Zero in which the main character is absurdly weak but he has it's trumph card in his sleave that he can return by death and through which his death count reaches above 1M+."
35,"It is fun doing coding and building project because of Chat-gpt,Claude and many more AI that made simple of making projects while there is a tiny problem called bug by that a man can go crazy its easy to build a project while it hard to fix a bug which requires lots of thoughts and energy and also copy pasting."
36,"Now i am writting scripts for the model to predict that if the written sentence is actually writen by a human or an AI me and my friend is working on this project but i am kinda busy in my own project because my project got a bug and it tok my whole 3 days to solve that last night at 1 O'clock i finished it and i am heading to the next to complete my project."
37,"I have a goal that i need to accomplish that which is kind of a secret i can't tell now but later we will discuss about it when i would achive it never mind me i am just messing around only ok don't take seriously."
38,"Everyone who tells a lie will have to tell 100 more lies to keep that lie on going which will cause you more trouble in the future time its better to say truth once and conffess thing rather that lying so say no to lies ."
39,"Now lets dive for the python language that which is very usefull and simple language that we work with in this era the basics of programming are always done on the C++ which also easy but i think that if our education system starts with python so that the students can have there better understanding of the language and later on they can work on various frameworks."
40,"Personaly i have to say that i hate node.js because that's a messed up language how can a person came to invent that language."
41,"I was talking about the importance of practical learning of skills and it will teach you about how the market is working."
42,"My goal is to complete this project in 25 days, but if we see our working pace for this project then it will easily exceed more than 2 months."
43,"I was teaching one student about github, how we collaborate on a single project, his name is Shujaullah Zahid, one fun fact about him, he is very Hatter(Topi-Baaz)."
44,"I was thinking yesterday, how can i get the job in first take without any previous interview experience, if i have done it then it will be mind blowing, if anyone can done it."
45,"I was asking my student to make human like sentences to test the text detection models, how they are performing on both ai and human text, but he is lazy enough to make even 5 sentences. Hahahaha....."
46,"I was watching and scrolling instagram memes, which looks funny when i was on my work."
47,"Every person has different mind, different strategy, different approach to solve a problem."
48,"There was a person brave enough to challenge the world conqures, the eastren empire and made them to eat his shoes dust and he fought 41 major wars and was undefeted he lost 0 battles and won every of them he was the undefeted commander and the world knows him Hazrat Khalid Bin walid was the commander in cheif of the army."
49,"I wonder how it feels to be in the space wheregravity has no effect where every thing feels light floting in the air and for the space scientst made a pen that will work in the space because due to the absence of gravity the ink in pen never comes out so they made a special pen to work in the space."
50,"Now most of the interviewer ask the same question that why should we hiere you and most of the candidate fail that part and to pass that question i also don't know because i haven't be interviewed yet so who know what to answer in my opinin you must have connections or a required skill that company is looking for and luck also."
51,"We have only software hub in Islamabad and Lahore where these companies are placed and named as software houses and to get into the companies there should be some serious connections with the higher ups to get into the company there are two sentences that i have read on the instagram one was my father is that guy and second one was my father knows that guy."
